municipality,barangay,year,season,area_ha,production_mt,yield_mt_ha
City of Cabuyao,Baclaran,2021,Dry,30.7,148.68,4.84
City of Cabuyao,Banaybanay,2021,Dry,11.9,58.57,4.92
City of Cabuyao,Bigaa,2021,Dry,4.0,18.92,4.73
City of Cabuyao,Butong,2021,Dry,6.5,36.42,5.6
City of Cabuyao,Gulod,2021,Dry,24.4,120.43,4.94
City of Cabuyao,Mamatid,2021,Dry,3.0,14.2,4.73
City of Cabuyao,Marinig,2021,Dry,42.3,256.45,6.06
City of Cabuyao,Niugan,2021,Dry,37.8,180.38,4.77
City of Cabuyao,Pulo,2021,Dry,13.5,63.62,4.71
City of Cabuyao,Sala,2021,Dry,11.7,56.37,4.82
City of Cabuyao,San Isidro,2021,Dry,17.0,84.5,4.97
City of Cabuyao,Baclaran,2023,Wet,27.1,124.46,4.59
City of Cabuyao,Banaybanay,2023,Wet,0.8,4.61,5.76
City of Cabuyao,Bigaa,2023,Wet,24.4,115.07,4.72
City of Cabuyao,Butong,2023,Wet,10.2,50.46,4.95
City of Cabuyao,Gulod,2023,Wet,79.7,363.78,4.56
City of Cabuyao,Mamatid,2023,Wet,3.8,17.66,4.65
City of Cabuyao,Marinig,2023,Wet,75.9,355.0,4.68
City of Cabuyao,Niugan,2023,Wet,22.48,102.19,4.55
City of Cabuyao,Pulo,2023,Wet,8.2,23.05,2.81
City of Cabuyao,Sala,2023,Wet,8.51,34.41,4.04
City of Cabuyao,San Isidro,2023,Wet,37.8,152.69,4.04
City of Cabuyao,Baclaran,2024,Dry,26.5,127.36,4.81
City of Cabuyao,Bigaa,2024,Dry,4.2,19.74,4.7
City of Cabuyao,Butong,2024,Dry,2.0,12.0,6.0
City of Cabuyao,Gulod,2024,Dry,25.3,110.41,4.36
City of Cabuyao,Mamatid,2024,Dry,3.5,7.2,2.06
City of Cabuyao,Marinig,2024,Dry,31.5,153.25,4.87
City of Cabuyao,Baclaran,2024,Wet,23.5,95.49,4.06
City of Cabuyao,Banaybanay,2024,Wet,12.8,52.71,4.12
City of Cabuyao,Bigaa,2024,Wet,22.0,84.17,3.83
City of Cabuyao,Butong,2024,Wet,17.5,63.26,3.61
City of Cabuyao,Gulod,2024,Wet,103.1,391.28,3.8
City of Cabuyao,Mamatid,2024,Wet,6.8,26.15,3.85
City of Cabuyao,Marinig,2024,Wet,65.2,245.04,3.76
City of Cabuyao,Niugan,2024,Wet,30.95,113.17,3.66
City of Cabuyao,Pulo,2024,Wet,8.8,34.48,3.92
City of Cabuyao,Sala,2024,Wet,14.7,54.01,3.67
City of Cabuyao,San Isidro,2024,Wet,47.9,200.5,4.19
City of Cabuyao,Baclaran,2025,Dry,24.8,100.3,4.04
City of Cabuyao,Banaybanay,2025,Dry,4.3,20.9,4.86
City of Cabuyao,Bigaa,2025,Dry,0.4,1.76,4.4
City of Cabuyao,Gulod,2025,Dry,29.9,131.31,4.39
City of Cabuyao,Mamatid,2025,Dry,7.7,32.82,4.26
City of Cabuyao,Marinig,2025,Dry,18.6,83.91,4.51
City of Cabuyao,Niugan,2025,Dry,17.4,86.23,4.96
City of Cabuyao,Pulo,2025,Dry,7.5,39.48,5.26
City of Cabuyao,Sala,2025,Dry,2.5,9.52,3.81
City of Cabuyao,San Isidro,2025,Dry,34.6,162.36,4.69
