municipality,barangay,year,season,area_ha,production_mt,yield_mt_ha
City of Calamba,Uwisan,2020,Dry,3.67,13.1,3.57
City of Calamba,Uwisan,2020,Wet,4.64,18.79,4.05
City of Calamba,Uwisan,2021,Dry,18.52,80.56,4.35
City of Calamba,Uwisan,2021,Wet,13.84,62.14,4.49
City of Calamba,Uwisan,2022,Dry,2.62,11.06,4.22
City of Calamba,Uwisan,2022,Wet,31.8,112.57,3.54
City of Calamba,Uwisan,2023,Dry,6.09,25.64,4.21
City of Calamba,Uwisan,2023,Wet,18.27,73.63,4.03
City of Calamba,Uwisan,2024,Dry,3.03,12.73,4.2
City of Calamba,Uwisan,2024,Wet,12.45,51.54,4.14
City of Calamba,Uwisan,2025,Dry,12.02,59.74,4.97
City of Calamba,Uwisan,2025,Wet,14.51,65.3,4.5
City of Calamba,Looc,2020,Dry,21.37,89.97,4.21
City of Calamba,Looc,2020,Wet,6.75,28.15,4.17
City of Calamba,Looc,2021,Dry,8.92,38.09,4.27
City of Calamba,Looc,2021,Wet,10.27,38.1,3.71
City of Calamba,Looc,2022,Dry,9.08,36.23,3.99
City of Calamba,Looc,2022,Wet,10.1,34.74,3.44
City of Calamba,Looc,2023,Dry,7.36,28.41,3.86
City of Calamba,Looc,2023,Wet,3.81,14.4,3.78
City of Calamba,Looc,2024,Dry,22.93,85.07,3.71
City of Calamba,Looc,2024,Wet,7.29,24.93,3.42
City of Calamba,Looc,2025,Dry,8.4,36.46,4.34
City of Calamba,Looc,2025,Wet,31.66,110.81,3.5
City of Calamba,Banlic,2020,Dry,37.45,185.75,4.96
City of Calamba,Banlic,2020,Wet,3.95,17.22,4.36
City of Calamba,Banlic,2021,Dry,17.69,78.54,4.44
City of Calamba,Banlic,2021,Wet,2.83,11.83,4.18
City of Calamba,Banlic,2022,Dry,10.73,50.11,4.67
City of Calamba,Banlic,2022,Wet,38.63,153.36,3.97
City of Calamba,Banlic,2023,Dry,15.84,65.42,4.13
City of Calamba,Banlic,2023,Wet,2.81,13.12,4.67
City of Calamba,Banlic,2024,Dry,10.47,51.62,4.93
City of Calamba,Banlic,2024,Wet,7.3,30.08,4.12
City of Calamba,Banlic,2025,Dry,3.25,14.56,4.48
