municipality,barangay,year,season,area_ha,production_mt,yield_mt_ha
City of Santa Rosa,Aplaya,2021,Dry,,,
City of Santa Rosa,Aplaya,2021,Wet,5.6,28.56,5.1
City of Santa Rosa,Aplaya,2022,Dry,,,
City of Santa Rosa,Aplaya,2022,Wet,,,
City of Santa Rosa,Aplaya,2023,Dry,,,
City of Santa Rosa,Aplaya,2023,Wet,,,
City of Santa Rosa,Aplaya,2024,Dry,,,
City of Santa Rosa,Aplaya,2024,Wet,,,
City of Santa Rosa,Aplaya,2025,Dry,,,
City of Santa Rosa,Aplaya,2025,Wet,,,
City of Santa Rosa,Balibago,2021,Dry,6.0,31.25,5.208
City of Santa Rosa,Balibago,2021,Wet,3.5,15.75,4.5
City of Santa Rosa,Balibago,2022,Dry,3.5,17.5,5.0
City of Santa Rosa,Balibago,2022,Wet,2.0,9.6,4.8
City of Santa Rosa,Balibago,2023,Dry,3.5,14.0,4.0
City of Santa Rosa,Balibago,2023,Wet,3.5,15.75,4.5
City of Santa Rosa,Balibago,2024,Dry,3.5,16.62,4.749
City of Santa Rosa,Balibago,2024,Wet,3.5,15.75,4.5
City of Santa Rosa,Balibago,2025,Dry,4.0,18.0,4.5
City of Santa Rosa,Balibago,2025,Wet,2.0,8.5,4.25
City of Santa Rosa,Caingin,2021,Dry,9.7,45.91,4.733
City of Santa Rosa,Caingin,2021,Wet,9.7,49.47,5.1
City of Santa Rosa,Caingin,2022,Dry,9.7,48.5,5.0
City of Santa Rosa,Caingin,2022,Wet,3.0,4.5,1.5
City of Santa Rosa,Caingin,2023,Dry,8.2,39.91,4.867
City of Santa Rosa,Caingin,2023,Wet,8.0,33.85,4.231
City of Santa Rosa,Caingin,2024,Dry,8.7,41.08,4.722
City of Santa Rosa,Caingin,2024,Wet,3.0,13.5,4.5
City of Santa Rosa,Caingin,2025,Dry,8.7,39.15,4.5
City of Santa Rosa,Caingin,2025,Wet,3.0,13.5,4.5
City of Santa Rosa,Dila,2021,Dry,8.0,36.44,4.555
City of Santa Rosa,Dila,2021,Wet,8.0,40.15,5.019
City of Santa Rosa,Dila,2022,Dry,4.3,22.1,5.14
City of Santa Rosa,Dila,2022,Wet,8.0,28.55,3.569
City of Santa Rosa,Dila,2023,Dry,5.2,20.52,3.945
City of Santa Rosa,Dila,2023,Wet,4.5,17.37,3.86
City of Santa Rosa,Dila,2024,Dry,6.3,28.35,4.5
City of Santa Rosa,Dila,2024,Wet,2.0,9.0,4.5
City of Santa Rosa,Dila,2025,Dry,5.3,23.85,4.5
City of Santa Rosa,Dila,2025,Wet,4.3,19.78,4.6
City of Santa Rosa,Dita,2021,Dry,25.1,123.57,4.923
City of Santa Rosa,Dita,2021,Wet,32.3,163.67,5.067
City of Santa Rosa,Dita,2022,Dry,18.6,93.5,5.027
City of Santa Rosa,Dita,2022,Wet,8.8,38.2,4.341
City of Santa Rosa,Dita,2023,Dry,9.4,44.69,4.754
City of Santa Rosa,Dita,2023,Wet,16.2,72.3,4.463
City of Santa Rosa,Dita,2024,Dry,22.2,102.52,4.618
City of Santa Rosa,Dita,2024,Wet,10.1,40.05,3.965
City of Santa Rosa,Dita,2025,Dry,10.5,47.48,4.522
City of Santa Rosa,Dita,2025,Wet,2.9,13.05,4.5
City of Santa Rosa,Don Jose,2021,Dry,,,
City of Santa Rosa,Don Jose,2021,Wet,,,
City of Santa Rosa,Don Jose,2022,Dry,,,
City of Santa Rosa,Don Jose,2022,Wet,,,
City of Santa Rosa,Don Jose,2023,Dry,,,
City of Santa Rosa,Don Jose,2023,Wet,,,
City of Santa Rosa,Don Jose,2024,Dry,,,
City of Santa Rosa,Don Jose,2024,Wet,,,
City of Santa Rosa,Don Jose,2025,Dry,,,
City of Santa Rosa,Don Jose,2025,Wet,,,
City of Santa Rosa,Ibaba,2021,Dry,,,
City of Santa Rosa,Ibaba,2021,Wet,,,
City of Santa Rosa,Ibaba,2022,Dry,,,
City of Santa Rosa,Ibaba,2022,Wet,,,
City of Santa Rosa,Ibaba,2023,Dry,,,
City of Santa Rosa,Ibaba,2023,Wet,,,
City of Santa Rosa,Ibaba,2024,Dry,,,
City of Santa Rosa,Ibaba,2024,Wet,,,
City of Santa Rosa,Ibaba,2025,Dry,,,
City of Santa Rosa,Ibaba,2025,Wet,,,
City of Santa Rosa,Kanluran,2021,Dry,,,
City of Santa Rosa,Kanluran,2021,Wet,,,
City of Santa Rosa,Kanluran,2022,Dry,,,
City of Santa Rosa,Kanluran,2022,Wet,,,
City of Santa Rosa,Kanluran,2023,Dry,,,
City of Santa Rosa,Kanluran,2023,Wet,,,
City of Santa Rosa,Kanluran,2024,Dry,,,
City of Santa Rosa,Kanluran,2024,Wet,,,
City of Santa Rosa,Kanluran,2025,Dry,,,
City of Santa Rosa,Kanluran,2025,Wet,,,
City of Santa Rosa,Labas,2021,Dry,4.6,24.0,5.217
City of Santa Rosa,Labas,2021,Wet,11.6,59.87,5.161
City of Santa Rosa,Labas,2022,Dry,7.1,37.13,5.23
City of Santa Rosa,Labas,2022,Wet,4.5,21.5,4.778
City of Santa Rosa,Labas,2023,Dry,2.6,13.0,5.0
City of Santa Rosa,Labas,2023,Wet,4.6,20.7,4.5
City of Santa Rosa,Labas,2024,Dry,6.5,29.75,4.577
City of Santa Rosa,Labas,2024,Wet,1.0,4.5,4.5
City of Santa Rosa,Labas,2025,Dry,5.6,25.2,4.5
City of Santa Rosa,Labas,2025,Wet,7.1,31.32,4.411
City of Santa Rosa,Macabling,2021,Dry,20.5,109.06,5.32
City of Santa Rosa,Macabling,2021,Wet,28.7,137.72,4.799
City of Santa Rosa,Macabling,2022,Dry,23.2,117.84,5.079
City of Santa Rosa,Macabling,2022,Wet,14.7,65.13,4.431
City of Santa Rosa,Macabling,2023,Dry,18.3,87.7,4.792
City of Santa Rosa,Macabling,2023,Wet,13.9,63.25,4.55
City of Santa Rosa,Macabling,2024,Dry,18.4,85.52,4.648
City of Santa Rosa,Macabling,2024,Wet,8.7,39.15,4.5
City of Santa Rosa,Macabling,2025,Dry,9.7,43.65,4.5
City of Santa Rosa,Macabling,2025,Wet,7.7,34.55,4.487
City of Santa Rosa,Malitlit,2021,Dry,31.9,155.41,4.872
City of Santa Rosa,Malitlit,2021,Wet,38.7,195.57,5.053
City of Santa Rosa,Malitlit,2022,Dry,32.6,164.17,5.036
City of Santa Rosa,Malitlit,2022,Wet,30.0,129.76,4.325
City of Santa Rosa,Malitlit,2023,Dry,22.13,103.4,4.672
City of Santa Rosa,Malitlit,2023,Wet,26.2,101.25,3.865
City of Santa Rosa,Malitlit,2024,Dry,18.33,85.21,4.649
City of Santa Rosa,Malitlit,2024,Wet,19.4,55.35,2.853
City of Santa Rosa,Malitlit,2025,Dry,30.53,138.09,4.523
City of Santa Rosa,Malitlit,2025,Wet,15.7,70.65,4.5
City of Santa Rosa,Malusak,2021,Dry,,,
City of Santa Rosa,Malusak,2021,Wet,,,
City of Santa Rosa,Malusak,2022,Dry,,,
City of Santa Rosa,Malusak,2022,Wet,,,
City of Santa Rosa,Malusak,2023,Dry,,,
City of Santa Rosa,Malusak,2023,Wet,,,
City of Santa Rosa,Malusak,2024,Dry,,,
City of Santa Rosa,Malusak,2024,Wet,,,
City of Santa Rosa,Malusak,2025,Dry,,,
City of Santa Rosa,Malusak,2025,Wet,,,
City of Santa Rosa,Market Area,2021,Dry,,,
City of Santa Rosa,Market Area,2021,Wet,,,
City of Santa Rosa,Market Area,2022,Dry,,,
City of Santa Rosa,Market Area,2022,Wet,,,
City of Santa Rosa,Market Area,2023,Dry,,,
City of Santa Rosa,Market Area,2023,Wet,,,
City of Santa Rosa,Market Area,2024,Dry,,,
City of Santa Rosa,Market Area,2024,Wet,,,
City of Santa Rosa,Market Area,2025,Dry,,,
City of Santa Rosa,Market Area,2025,Wet,,,
City of Santa Rosa,Pooc,2021,Dry,5.4,27.7,5.13
City of Santa Rosa,Pooc,2021,Wet,14.4,72.4,5.028
City of Santa Rosa,Pooc,2022,Dry,7.4,37.64,5.086
City of Santa Rosa,Pooc,2022,Wet,2.0,9.25,4.625
City of Santa Rosa,Pooc,2023,Dry,5.4,26.0,4.815
City of Santa Rosa,Pooc,2023,Wet,7.4,32.3,4.365
City of Santa Rosa,Pooc,2024,Dry,5.4,25.75,4.769
City of Santa Rosa,Pooc,2024,Wet,2.0,9.0,4.5
City of Santa Rosa,Pooc,2025,Dry,2.0,9.0,4.5
City of Santa Rosa,Pooc,2025,Wet,2.0,8.5,4.25
City of Santa Rosa,Pulong Santa Cruz,2021,Dry,9.0,44.4,4.933
City of Santa Rosa,Pulong Santa Cruz,2021,Wet,9.0,45.9,5.1
City of Santa Rosa,Pulong Santa Cruz,2022,Dry,15.0,75.7,5.047
City of Santa Rosa,Pulong Santa Cruz,2022,Wet,6.0,29.1,4.85
City of Santa Rosa,Pulong Santa Cruz,2023,Dry,6.0,28.5,4.75
City of Santa Rosa,Pulong Santa Cruz,2023,Wet,4.0,18.0,4.5
City of Santa Rosa,Pulong Santa Cruz,2024,Dry,6.0,27.99,4.665
City of Santa Rosa,Pulong Santa Cruz,2024,Wet,6.0,18.75,3.125
City of Santa Rosa,Pulong Santa Cruz,2025,Dry,,,
City of Santa Rosa,Pulong Santa Cruz,2025,Wet,5.0,21.0,4.2
City of Santa Rosa,Santo Domingo,2021,Dry,,,
City of Santa Rosa,Santo Domingo,2021,Wet,,,
City of Santa Rosa,Santo Domingo,2022,Dry,,,
City of Santa Rosa,Santo Domingo,2022,Wet,,,
City of Santa Rosa,Santo Domingo,2023,Dry,,,
City of Santa Rosa,Santo Domingo,2023,Wet,,,
City of Santa Rosa,Santo Domingo,2024,Dry,,,
City of Santa Rosa,Santo Domingo,2024,Wet,,,
City of Santa Rosa,Santo Domingo,2025,Dry,,,
City of Santa Rosa,Santo Domingo,2025,Wet,,,
City of Santa Rosa,Sinalhan,2021,Dry,17.4,97.7,5.615
City of Santa Rosa,Sinalhan,2021,Wet,11.2,59.3,5.295
City of Santa Rosa,Sinalhan,2022,Dry,8.5,43.45,5.112
City of Santa Rosa,Sinalhan,2022,Wet,1.0,5.2,5.2
City of Santa Rosa,Sinalhan,2023,Dry,1.0,5.1,5.1
City of Santa Rosa,Sinalhan,2023,Wet,1.7,8.16,4.8
City of Santa Rosa,Sinalhan,2024,Dry,1.7,7.65,4.5
City of Santa Rosa,Sinalhan,2024,Wet,,,
City of Santa Rosa,Sinalhan,2025,Dry,,,
City of Santa Rosa,Sinalhan,2025,Wet,,,
City of Santa Rosa,Tagapo,2021,Dry,23.9,128.5,5.377
City of Santa Rosa,Tagapo,2021,Wet,23.0,118.27,5.142
City of Santa Rosa,Tagapo,2022,Dry,19.6,101.04,5.155
City of Santa Rosa,Tagapo,2022,Wet,20.4,98.63,4.835
City of Santa Rosa,Tagapo,2023,Dry,16.0,75.29,4.706
City of Santa Rosa,Tagapo,2023,Wet,16.2,76.66,4.732
City of Santa Rosa,Tagapo,2024,Dry,11.9,60.43,5.078
City of Santa Rosa,Tagapo,2024,Wet,20.3,81.45,4.012
City of Santa Rosa,Tagapo,2025,Dry,10.8,50.65,4.69
City of Santa Rosa,Tagapo,2025,Wet,11.4,52.67,4.62
City of Santa Rosa,Dita,2020,Wet,25.1,121.51,4.84
City of Santa Rosa,Malitlit,2020,Wet,20.9,127.32,6.09
City of Santa Rosa,Tagapo,2020,Wet,15.3,53.0,3.46
City of Santa Rosa,Dila,2020,Wet,11.0,42.9,3.9
City of Santa Rosa,Macabling,2020,Wet,10.9,48.5,4.45
City of Santa Rosa,Caingin,2020,Wet,9.7,43.06,4.44
City of Santa Rosa,Pulong Santa Cruz,2020,Wet,9.0,45.0,5.0
City of Santa Rosa,Pooc,2020,Wet,6.5,25.6,3.94
City of Santa Rosa,Labas,2020,Wet,5.5,26.75,4.86
City of Santa Rosa,Sinalhan,2020,Wet,3.2,15.67,4.9
City of Santa Rosa,Aplaya,2020,Wet,2.0,10.0,5.0
