province,municipality,year,semester,season_type,yield_mt_ha,ecosystem,source_file,suspected_proxy
Laguna,Alaminos,2018,1,Dry,3.75584,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Bay,2018,1,Dry,4.87822,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Calauan,2018,1,Dry,4.66715,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Cavinti,2018,1,Dry,3.36595,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of Biñan,2018,1,Dry,4.56303,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of Cabuyao,2018,1,Dry,4.62105,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,True
Laguna,City of Calamba,2018,1,Dry,4.62105,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,True
Laguna,City of San Pablo,2018,1,Dry,3.9914,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,True
Laguna,City of Santa Rosa,2018,1,Dry,3.9914,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,True
Laguna,Famy,2018,1,Dry,4.3845,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Kalayaan,2018,1,Dry,3.91285,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Liliw,2018,1,Dry,4.16664,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Los Baños,2018,1,Dry,4.20141,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Luisiana,2018,1,Dry,3.20839,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Lumban,2018,1,Dry,4.60063,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Mabitac,2018,1,Dry,4.90881,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Magdalena,2018,1,Dry,4.08805,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Majayjay,2018,1,Dry,4.0237,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Nagcarlan,2018,1,Dry,4.34663,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Paete,2018,1,Dry,3.19597,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Pagsanjan,2018,1,Dry,4.90653,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Pakil,2018,1,Dry,3.94488,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Pangil,2018,1,Dry,4.02727,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Pila,2018,1,Dry,5.28423,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Rizal,2018,1,Dry,3.71529,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Santa Cruz,2018,1,Dry,5.05911,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Santa Maria,2018,1,Dry,5.11797,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Siniloan,2018,1,Dry,5.00763,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Victoria,2018,1,Dry,5.09922,ALL ECOSYSTEMS,2018 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Alaminos,2018,2,Wet,3.96832,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Bay,2018,2,Wet,4.03836,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Calauan,2018,2,Wet,4.04658,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Cavinti,2018,2,Wet,3.95193,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of Biñan,2018,2,Wet,3.82552,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of Cabuyao,2018,2,Wet,3.86934,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of Calamba,2018,2,Wet,3.84386,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of San Pablo,2018,2,Wet,3.9399,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of Santa Rosa,2018,2,Wet,3.90999,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Famy,2018,2,Wet,3.85891,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Kalayaan,2018,2,Wet,3.89805,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Liliw,2018,2,Wet,4.09509,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Los Baños,2018,2,Wet,3.90191,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Luisiana,2018,2,Wet,3.84091,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Lumban,2018,2,Wet,3.74992,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Mabitac,2018,2,Wet,3.80991,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Magdalena,2018,2,Wet,4.09017,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Majayjay,2018,2,Wet,4.01441,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
