municipality,2018 S1,2018 S2,2019 S1,2019 S2,2020 S1,2020 S2,2021 S1,2021 S2,2022 S1,2022 S2,2023 S1,2023 S2,2024 S1,2024 S2,2025 S1,2025 S2
Alaminos,3.75584,3.96832,5.32157,3.89553,4.48558,4.40556,4.8107,4.23185,3.9716,2.992,3.30586,3.97615,5.83836,3.524,3.61671,3.63895
Bay,4.87822,4.03836,5.53773,3.94882,4.95975,4.42613,4.97952,4.25719,4.1319,4.134,4.38725,4.53374,4.69411,3.919,4.94538,3.91901
Calauan,4.66715,4.04658,5.49966,3.97765,4.86492,4.34298,4.97402,4.17649,4.10158,3.929,4.21921,4.44397,4.71609,3.852,4.78313,3.86538
Cavinti,3.36595,3.95193,4.82972,3.28399,3.65106,3.75327,4.06041,3.4107,3.60153,3.204,3.45246,3.96869,4.41964,3.319,3.66486,3.38834
City of Biñan,4.56303,3.82552,5.01075,3.86146,4.3623,3.89642,4.49752,4.18499,3.95875,3.419,3.73267,3.81274,5.60253,3.61,4.08119,3.88066
City of Cabuyao,4.62105,3.86934,5.20236,3.84049,4.50455,4.11742,4.81305,4.10594,4.12662,3.677,3.7071,4.26304,5.68066,3.736,3.89592,3.82416
City of Calamba,4.62105,3.84386,5.19324,3.92698,4.62783,4.18893,4.85753,4.11526,4.09846,3.767,3.96282,4.22147,5.0325,3.77,4.37207,3.82067
City of San Pablo,3.9914,3.9399,5.2382,3.6876,4.59938,4.06137,4.7899,4.15909,4.06375,3.798,4.08502,4.37983,4.61359,3.754,3.94521,4.01528
City of Santa Rosa,3.9914,3.90999,5.05812,3.87281,4.3054,4.02827,4.63257,4.05038,4.02354,3.481,3.48937,3.94328,5.46691,3.599,4.27719,3.72801
Famy,4.3845,3.85891,5.50137,3.92523,4.8175,4.39233,4.97491,4.22728,4.16537,4.115,4.67355,4.61695,4.45242,4.037,4.58424,3.95376
Kalayaan,3.91285,3.89805,5.17297,3.63169,4.22005,3.85789,4.24961,3.68819,3.88487,3.19,3.60609,3.94292,3.95875,3.372,3.91862,3.28499
Liliw,4.16664,4.09509,5.45782,3.82739,4.8175,4.28115,4.85263,4.2099,4.08838,4.019,4.40579,4.55209,5.12769,3.931,4.12058,3.89298
Los Baños,4.20141,3.90191,4.94872,3.85534,3.95452,4.20271,4.44788,3.90832,3.81162,3.553,3.29041,4.14172,5.31347,3.609,3.58221,3.67264
Luisiana,3.20839,3.84091,4.87274,3.14246,3.52778,3.426,3.92225,3.45654,3.62075,2.935,3.45801,3.94904,4.39423,3.197,3.67634,3.21777
Lumban,4.60063,3.74992,5.44042,3.81428,4.5899,4.21103,4.97619,4.01236,4.18621,3.835,4.54249,4.20237,4.04333,3.62,4.50725,3.95641
Mabitac,4.90881,3.80991,5.48666,3.97678,4.8744,4.33217,5.02629,4.28605,4.29277,4.163,4.68182,4.50353,4.35098,3.926,4.8319,3.91815
Magdalena,4.08805,4.09017,5.3544,3.90164,4.67525,4.35344,4.83783,4.17846,4.01809,3.922,4.0381,4.39502,5.41164,3.897,3.93489,3.84366
Majayjay,4.0237,4.01441,5.18956,3.69547,4.32437,4.31913,4.48717,3.96875,3.93938,3.4,3.62896,4.13583,4.09981,3.458,3.52245,3.57955
Nagcarlan,4.34663,4.02554,5.22929,3.74352,4.60887,4.26213,4.607,4.08259,3.97447,3.825,4.127,4.27001,4.58833,3.671,4.22053,3.87086
Paete,3.19597,3.9553,5.26066,3.88068,4.31489,3.98739,4.54844,3.92037,4.14127,2.969,3.8408,4.43316,4.04066,3.119,4.24877,3.40083
Pagsanjan,4.90653,3.75018,5.46951,3.75575,4.60887,4.30847,5.09942,4.18775,4.15239,3.875,4.31482,4.24173,4.04962,3.837,4.22853,3.90434
Pakil,3.94488,3.16682,4.96559,3.73828,4.43817,3.93633,4.47897,3.89819,4.15471,3.258,3.78898,4.12618,4.48538,3.302,4.21115,3.64456
Pangil,4.02727,3.83037,5.30267,3.90689,4.7037,4.18092,4.90738,4.11419,4.20666,3.878,4.44021,4.38983,3.93958,3.769,4.73353,3.88248
Pila,5.28423,4.00724,5.57892,3.8798,5.01665,4.41767,5.16442,4.29597,4.24228,4.143,4.97992,4.47445,4.41717,3.873,4.73137,3.96492
Rizal,3.71529,4.03508,5.33963,,4.39075,,4.77632,3.86949,3.82617,3.443,3.47669,4.13811,3.94947,3.43,3.82234,3.43065
Santa Cruz,5.05911,3.93378,5.49557,3.88592,4.85543,4.31872,5.04536,4.19307,4.22865,4.079,4.64176,4.43486,4.75671,3.793,4.66992,3.9001
Santa Maria,5.11797,3.9053,5.59785,4.00648,5.07355,4.40944,5.0708,4.28161,4.30307,4.314,4.8354,4.70435,4.67847,4.044,4.97154,3.99055
Siniloan,5.00763,3.82081,5.48044,4.07637,4.79853,4.37876,4.99914,4.17553,4.22327,4.177,4.62166,4.48586,3.96338,3.895,4.70677,3.99278
Victoria,5.09922,4.00981,5.5251,3.9759,5.03561,4.42029,5.07151,4.27387,4.25457,4.221,4.92641,4.52947,4.58324,3.869,5.19894,3.97158
