barangay,year,month,ndvi_mean,ndvi_std,evi_mean,evi_std,ndwi_mean,ndwi_std,s2_valid_px,vv_mean,vv_std,vh_mean,vh_std,s1_valid_px
Uwisan,2020,1,0.576,0.3319,0.4132,0.4656,-0.3172,0.2156,3315,-5.8821,3.0568,-12.7806,3.9046,9149
Uwisan,2020,2,0.4777,0.2826,0.2674,1.2103,-0.4115,0.2446,9718,-5.3305,3.5979,-12.9283,3.6066,5595
Uwisan,2020,3,0.3491,0.1435,0.2796,4.2942,-0.3118,0.1738,256,-5.3994,3.4388,-13.035,3.6879,13624
Uwisan,2020,4,0.4895,0.1594,0.1967,1.6065,-0.3813,0.1804,5378,-6.3426,3.981,-14.0194,3.5742,479
Uwisan,2020,5,0.303,0.2982,0.4382,0.6473,-0.4067,0.2074,2833,-7.1205,3.7684,-13.0129,3.3556,3085
Uwisan,2020,6,0.3261,0.2652,0.2711,0,-0.3593,0.1863,504,-5.6724,3.8859,-11.8646,3.1422,3110
Uwisan,2020,7,0.3991,0.2903,0.3242,0,-0.4894,0.1919,3389,-4.3561,3.7395,-11.2525,3.5311,14716
Uwisan,2020,8,0.2687,0.2317,0.4259,0,-0.3718,0.1837,4952,-6.6587,3.0465,-12.129,3.3423,13428
Uwisan,2020,9,0.5439,0.2578,-0.0359,9.2308,-0.4965,0.1754,7476,-5.2299,3.1651,-10.3176,3.5272,8050
Uwisan,2020,10,0.4737,0.34,0.3175,0,-0.5675,0.1445,2353,-5.2984,4.4155,-10.3656,3.8255,3157
Uwisan,2020,11,0.2977,0.1701,0.4744,0.1214,-0.4253,0.2076,1244,-3.5728,2.8399,-12.4607,3.4096,5748
Uwisan,2020,12,0.3874,0.2807,0.3231,0.0263,-0.3969,0.185,5528,-6.6329,3.8151,-11.6666,3.7784,4850
Uwisan,2021,1,0.4177,0.2367,0.3818,0.1394,-0.3623,0.1187,6175,-4.3669,3.5523,-11.5376,3.9855,1998
Uwisan,2021,2,0.4844,0.2228,0.3185,1.1802,-0.4686,0.1911,4599,-5.9158,3.9247,-11.4056,3.1255,7281
Uwisan,2021,3,0.2149,0.208,0.382,0.8655,-0.2768,0.1611,2342,-6.6643,4.223,-12.0163,3.7657,15631
Uwisan,2021,4,0.3341,0.2769,0.2196,2.4235,-0.4392,0.1839,142,-5.1636,3.5037,-14.606,3.2937,4687
Uwisan,2021,5,0.4139,0.2543,0.3362,1.6178,-0.387,0.2052,6326,-5.3298,4.1503,-11.9291,3.5482,10513
Uwisan,2021,6,0.5021,0.2021,0.4399,0,-0.2893,0.148,641,-5.3131,3.6891,-13.4521,3.4097,3310
Uwisan,2021,7,0.4197,0.2017,0.4689,0,-0.4589,0.1631,0,-4.4152,3.8765,-11.7244,3.4787,6909
Uwisan,2021,8,0.3715,0.1979,0.3588,1.1001,-0.2172,0.1926,0,-5.6382,3.5509,-10.9884,3.4754,9455
Uwisan,2021,9,0.4428,0.2216,0.3436,0.4416,-0.4686,0.1653,8015,-6.1234,2.9147,-10.354,3.2928,6126
Uwisan,2021,10,0.2971,0.157,0.3178,0.5001,-0.3293,0.1276,4967,-5.6387,2.6509,-11.0726,3.9569,12840
