municipality,year,month,ndvi_mean,ndvi_std,evi_mean,evi_std,ndwi_mean,ndwi_std,s2_valid_px,vv_mean,vv_std,vh_mean,vh_std,s1_valid_px
Alaminos,2018,1,0.7435397859575571,0.1473849699817555,0.6249735612719471,0.1525372669612169,-0.6561719872392748,0.1250461606194088,29279,-5.730454876255691,2.1664517401831684,-12.150481518899925,2.154407462923377,150293
Alaminos,2018,2,0.7888835875615291,0.10720907395027887,0.6958160543897105,0.13963983697015336,-0.700332158098738,0.08848398909033424,36054,-6.0534399289936065,2.3185376182081354,-12.653917566197682,2.156278420677444,150286
Alaminos,2018,3,0.766086459178217,0.15864246682641434,0.6340250995389425,0.1600893339001502,-0.688005184374391,0.12480169599345016,88084,-6.261686279322462,2.223328498536579,-12.982311689570496,2.0739698002794262,150285
Alaminos,2018,4,0.6704707909305652,0.18733540286880432,0.5955975105914396,0.20300113155881802,-0.6083700995710201,0.14355717249838232,46475,-6.546564428335136,2.1929784226003908,-13.021744266134778,2.0401821656332593,150287
Alaminos,2018,5,0.7087469857857358,0.11684169263801643,0.6931929014707751,0.405281293573054,-0.6187483484350919,0.09118391351363422,25467,-6.082251281895327,2.320544358102414,-12.341552459289126,2.362766596536801,150292
Alaminos,2018,6,0.7978070058835129,0.143904786932091,0.7534176156338129,0.17919988089596028,-0.6817183070492908,0.11513828286372244,63481,-5.999386507350708,2.3370537499513278,-12.80787353976585,2.1880539491618443,150287
Alaminos,2018,7,,,,,,,,-5.454776463755554,2.184242530192977,-12.168127531716609,2.167203440774814,150289
Alaminos,2018,8,,,,,,,0,-6.251848869295582,2.0942209589618903,-12.973558897823706,1.9727508743033955,150285
Alaminos,2018,9,0.7649330543694148,0.12020454129517538,0.7882198985177273,0.1690012555944199,-0.6668625222934884,0.10003901987049466,46142,-6.129646727319168,2.214061006369143,-12.812485539564426,2.0933263024169957,150286
Alaminos,2018,10,0.66151269190856,0.17168543823459478,0.6207468949646677,0.17095842155087093,-0.5764401411017719,0.14447691837682505,33297,-6.233904560872154,2.213642734114792,-12.99771751795367,2.094742996765962,150285
Alaminos,2018,11,0.8212117812309108,0.16415359297754017,0.6239061532590331,0.16570132643903376,-0.7314014159609246,0.13052336069771356,62333,-6.32153691476946,2.200266471073437,-13.151614266170329,2.0947846528291167,150286
Alaminos,2018,12,0.7067476011087398,0.16468411864585225,0.5650328861275774,0.1837384608118727,-0.614985299081768,0.13717876860155717,42713,-5.415078631384699,2.1937906201165744,-12.148730486191425,2.0461846129038825,150285
Alaminos,2019,1,0.8192801355810245,0.15607609047230453,0.6261681998674867,0.16151465172693977,-0.7391916671873197,0.12451014637810567,68839,-6.370127566578739,2.2234755419107186,-13.1043749892532,2.1016689470586587,150285
Alaminos,2019,2,0.7668120599909818,0.14789453456914103,0.6716221502937271,0.18813250451246696,-0.6863747654873338,0.11480015335890562,63008,-6.523250074950137,2.3548573622900224,-13.221440288272332,2.266824877333749,150284
Alaminos,2019,3,0.7183035665192719,0.1395550411686233,0.7154189008728458,0.19187177747710524,-0.6405095775083902,0.10507363941526277,11124,-6.8569082154536165,2.4196809089862676,-13.315743484162482,2.339725690549286,150286
Alaminos,2019,4,0.6357583784609259,0.1628331759412552,0.5793888980054598,0.18908908828834858,-0.5765917188116491,0.1179429212783519,11305,-7.265105959875047,2.451581357127346,-13.547628882694184,2.4096392578648413,150283
Alaminos,2019,5,0.780765726782359,0.16319575468946268,0.6245622498454504,0.1719396278053497,-0.6873332727774001,0.12301110916544877,108740,-6.617340800829008,2.4201326253654716,-13.25578518028238,2.331165917169551,150285
Alaminos,2019,6,0.8001902662614903,0.1556414004754956,0.7054290527553119,0.25755739057999655,-0.7019638554753547,0.12087395547213814,75226,-6.375726374534436,2.218814337393324,-13.249078505226421,2.0627939712483183,150284
Alaminos,2019,7,0.7840719219733794,0.16287563536108285,0.6747569641019553,0.1902762753755419,-0.6861166569965956,0.13177832752594548,66503,-5.6642883863897495,2.1277137546214444,-12.532990375936908,1.9409933691313455,150284
Alaminos,2019,8,0.7957779231707593,0.12374363262970622,0.7620526812292411,0.1765478373465292,-0.6974832490897823,0.0990865528681257,56149,-5.828693316672378,2.242841297932188,-12.688238473201586,2.279093994997698,150286
Alaminos,2019,9,0.5858595466523929,0.12037540217199301,0.7479355407362134,0.17644127162459944,-0.49185591242648724,0.09800368279610033,2787,-6.172386331821737,2.239000949297232,-13.011524670916891,2.104105411609062,150285
Alaminos,2019,10,0.835305539784605,0.10626223312987405,0.7987003649107045,0.15222799290262617,-0.7273709585705893,0.08654952175945828,45830,-5.545544220817968,2.105343453161885,-12.24774720494176,1.9568019315512615,150286
Alaminos,2019,11,0.7532390583077303,0.1406140522486897,0.6682953399770237,0.1738304987459858,-0.6675859486222386,0.11385693632191965,54416,-5.899768404613812,2.123276535571187,-12.721424397937044,1.9515696419962756,150286
Alaminos,2019,12,0.771089969998177,0.14642621022042793,0.6656754504443245,0.16783112305909725,-0.6854579454403381,0.12415066965661717,63890,-6.293204695634598,2.217306111756549,-13.008345165493274,2.103236899353588,150286
Alaminos,2020,1,0.8222461470742738,0.14509083492948782,0.5726233758201487,0.13705953205005766,-0.7367879955304555,0.11513111312320506,143980,-6.235190104625292,2.254290439466248,-13.033406352011076,2.1829308838624244,150284
Alaminos,2020,2,0.7426312714754124,0.16474042951522613,0.6116898550505163,0.16852026794428987,-0.6610774475838344,0.1272415385397202,86465,-6.578542963237082,2.4120015051013923,-13.3544347652691,2.35315621118347,150285
Alaminos,2020,3,0.7388827945019968,0.1402389611911617,0.5831358455481175,0.1390756896396977,-0.6663054109553465,0.10434610802964439,83184,-6.589693609578719,2.443767762344947,-13.189667507499957,2.393823918365506,150285
Alaminos,2020,4,0.5408634750470175,0.12926481895754593,0.5519515944749609,0.1592395010875853,-0.47777992803800107,0.10521349961802012,12959,-6.876967112035677,2.491003271357309,-13.504842599783915,2.3949778777885435,150285
Alaminos,2020,5,0.7689362082331812,0.15498333260027536,0.6145726373658319,0.17038938947093035,-0.6761054234621088,0.11773543019926636,97775,-6.091655138949891,2.328624460216083,-12.715134937325201,2.2477024687768066,150285
Alaminos,2020,6,0.83061684845084,0.15820486447670426,0.7059809411237756,0.1683258794230127,-0.7205802420145696,0.11742827212944205,122730,-6.135467327220968,2.3001949387572314,-13.070244294515113,2.195830533240131,150284
Alaminos,2020,7,0.7292318960033005,0.17518374042376136,0.7947750124959978,0.38252997630710445,-0.6295540503187395,0.1371564352812428,30323,-5.571029800450547,2.233562951463105,-12.528080640275633,2.2823905247642706,150291
Alaminos,2020,8,0.8279704026568355,0.16540616940074923,0.6583873782650498,0.16017357190444934,-0.7309829951811121,0.12692596174393533,139048,-5.984311181433441,2.2939100950158373,-12.819765149375293,2.183290874588085,150285
Alaminos,2020,9,0.637944970416756,0.1317863893426377,0.819312946536824,0.2909492677286729,-0.5373950034373973,0.12166019308301926,30474,-5.495955132189244,2.3680574675183506,-12.526881797166045,2.4061941750124225,150285
Alaminos,2020,10,0.7392846123217495,0.1732939613566637,0.6202104141593644,0.17904799277648853,-0.6544710549217628,0.14293506037899378,90778,-5.368255562151034,2.196507057659984,-12.182723698231026,1.99660435377686,150286
Alaminos,2020,11,0.7023935402891212,0.16909125188363358,0.7001462395729857,0.21946355671040496,-0.6059277558163428,0.15079428191095443,4745,-6.18396096600636,2.2541965139177544,-12.746762925921738,2.219876146635532,150285
Alaminos,2020,12,0.7824615442029272,0.17612651286614306,0.6628679342769908,0.19804039227427678,-0.696190778942142,0.14413159114638183,43639,-6.141108375647108,2.2719936075437697,-12.9071554022279,2.2420243017585886,150285
Alaminos,2021,1,,,,,,,0,-6.282929134890472,2.216658940113529,-13.036331004214333,2.1607749619578116,150286
Alaminos,2021,2,0.8202543269315723,0.1456395727643385,0.6922316368420139,0.1736003205305629,-0.7270614455971466,0.1195245790854191,81736,-5.611363946799396,2.4057187955650483,-12.429726187603187,2.2604531561345227,150284
Alaminos,2021,3,0.7381334075149341,0.1374948330202028,0.7350767837357502,0.1677819458797133,-0.6457141993664596,0.10931741086818055,25507,-6.1294092211823035,2.304135877922892,-13.011625482299328,2.2329094581331166,150286
Alaminos,2021,4,0.6942902641936741,0.1788885578363843,0.6804922142255333,0.20265659716662884,-0.6107626991969389,0.14507565380292564,90543,-6.315632854891367,2.330526362091693,-13.098954554155277,2.269145559043916,150284
Alaminos,2021,5,0.7391009582109872,0.17553919888516512,0.603704499888188,0.17714772762089798,-0.6585152502114632,0.13332382381173474,132226,-6.539418029232023,2.495607812358394,-13.425328464644348,2.429194624625904,150284
Alaminos,2021,6,0.7862515767193266,0.12122932211137384,0.8178445820274128,0.16892495139108402,-0.6772391307010031,0.10202190398105197,29867,-6.31399230813414,2.53187677867709,-13.26465412701328,2.4461006702231365,150284
Alaminos,2021,7,0.7486815956946091,0.13361699706265745,0.9915189992872623,0.794223418593567,-0.6362762222003491,0.11882764138580432,5142,-5.910704311353645,2.2567225753482787,-12.746198993079705,2.101156488085146,150284
Alaminos,2021,8,0.6361036354631888,0.0798905442716888,0.7646266613888931,0.15343773290069102,-0.530023842815339,0.08119927775748814,127,-5.614989643920776,2.427722019425377,-12.752917564834345,2.5387836203611673,150283
Alaminos,2021,9,0.8071628525736954,0.14542743978433215,0.7107198462705431,0.15731820323901813,-0.7047732322229002,0.11533377236857222,102241,-6.272769651215228,2.3589228191360485,-13.046251137385525,2.259282536310438,150284
Alaminos,2021,10,0.6316126457425763,0.14712381232863897,0.6781455334276012,0.20349771419702808,-0.5651314320816666,0.1226198594854999,21258,-6.120303174148847,2.3699716051543294,-13.075361436954033,2.5316532884971674,150262
Alaminos,2021,11,0.7367480253156328,0.14877089493857124,0.7075023095948861,0.16140695197832988,-0.6574742224914906,0.12424960221995149,844,-6.070062044658641,2.3623198371175813,-12.956424373604355,2.2411024265134696,150285
Alaminos,2021,12,0.7940976776755119,0.21183009136490905,0.6528340074547699,0.21741482687289088,-0.7077088879361297,0.18169529142322818,52626,-6.054530414844651,2.2646102060186886,-12.96817062460058,2.4449988326988277,150284
Alaminos,2022,1,0.6703092796476599,0.1502469820386532,0.5919045256517595,0.9196874827841427,-0.5891035031701067,0.13054437078386574,18458,-5.847566055060809,2.4252336194548763,-12.893030258684798,2.622118584066782,150272
Alaminos,2022,2,0.6037855969035044,0.19590810177652643,0.5792646725618534,0.2100148893586317,-0.5203744128308058,0.17394038811933882,22805,-6.026423225807314,2.319006897499908,-12.901853114647496,2.477383021279414,150279
Alaminos,2022,3,0.7869464347482966,0.1827226356904004,0.6265325312853963,0.18006350142481192,-0.700065346527392,0.14423724892220166,95126,-6.173178301593615,2.2699479067213777,-13.061815707373277,2.4375679460264705,150287
