municipality,barangay,year,season,rain_m1,rain_m2,rain_m3,rain_m4,rain_m5,rain_m6,temp_m1,temp_m2,temp_m3,temp_m4,temp_m5,temp_m6,humid_m1,humid_m2,humid_m3,humid_m4,humid_m5,humid_m6,ndvi_m1,ndvi_m2,ndvi_m3,ndvi_m4,ndvi_m5,ndvi_m6,evi_m1,evi_m2,evi_m3,evi_m4,evi_m5,evi_m6,ndwi_m1,ndwi_m2,ndwi_m3,ndwi_m4,ndwi_m5,ndwi_m6,vv_m1,vv_m2,vv_m3,vv_m4,vv_m5,vv_m6,vh_m1,vh_m2,vh_m3,vh_m4,vh_m5,vh_m6,ndvi_present,s1_present,yield_mt_ha
City of Santa Rosa,Aplaya,2021,Wet,282.0,182.8,360.0,204.0,46.7,80.0,27.46,27.33,26.94,26.89,27.51,25.93,83.44,83.78,86.7,84.03,77.47,76.43,0.2407035380601883,0.28549177619543936,0.4234051286871478,0.3656790127051394,-0.1478605717420578,0.3749827486362586,0.15422280132770538,0.21472401824695145,0.3119538383235341,0.25279272523157176,-0.2884119749069214,0.26376643935065724,-0.14830410107970238,-0.1610111547464674,-0.4166153903761692,-0.3832516251644547,0.16537216305732727,-0.38509561892238936,-3.311406295826387,-6.190448580110998,-3.4690055485879,-6.171518880910874,-4.228754794705371,-6.310498665811431,-11.943357198259433,-11.243549717502935,-11.824381780502883,-11.329886443257156,-12.729254233059297,-11.334267905485564,6,6,5.1
City of Santa Rosa,Balibago,2021,Dry,108.6,91.9,63.2,22.2,79.8,231.7,25.1,25.17,26.72,27.88,28.81,27.93,81.75,80.92,78.69,70.63,75.02,81.25,0.37058846490057656,0.38516742483169353,0.12011607736349106,0.26662334263119297,0.2752623721497888,0.22388944721815068,0.2887903659813294,0.2716697391829184,0.3123483955860138,0.24477936759933952,0.20191600209479954,0.30613420341998265,-0.3465625074632164,-0.3794772826801731,-0.12747757136821747,-0.280223788481629,-0.30121135996942444,-0.1783085337944717,-3.9835483548834585,-3.2258611461494735,-4.402149005866016,-4.410170687460129,-4.6048234727583965,-4.161017059487214,-12.230897845612857,-11.800127258508743,-12.595943913642778,-12.583433018639562,-12.853442222303224,-12.535423422323511,6,6,5.208
City of Santa Rosa,Balibago,2021,Wet,282.0,182.8,360.0,204.0,46.7,80.0,27.46,27.33,26.94,26.89,27.51,25.93,83.44,83.78,86.7,84.03,77.47,76.43,0.4083147590756416,0.412282156087193,0.3979728710036752,0.4078924199458232,0.02249684315174818,0.3527286220613136,0.45811106897890586,0.4442555523953406,0.2917058653716703,0.27771594093444185,0.04675297569483519,0.23950427059785673,-0.33821215644478825,-0.35601974647399875,-0.3854529841246005,-0.3984130656111671,-0.02144805724092293,-0.3528051765945571,-3.2181499093055916,-5.3019114936485785,-3.686849672625607,-5.460058612906273,-3.792163980638706,-5.426865362848335,-11.708253521031324,-11.165505916725985,-12.028237950182548,-11.21572690269068,-12.214871196400122,-11.095435942276211,6,6,4.5
City of Santa Rosa,Balibago,2022,Dry,33.1,21.8,24.7,59.5,215.1,265.8,25.92,26.26,27.74,27.63,28.03,27.65,72.65,74.93,72.74,74.3,78.5,81.8,0.15903330852205932,0.3328334726474422,0.32106815174138476,0.3247984922750186,0.36253908271635726,,0.09280010133695145,0.22764954305532423,0.22241929069115443,0.29219618727816027,0.27380096555094857,,-0.15837200028965107,-0.33687353500817296,-0.34015137544421964,-0.31649937978075443,-0.35586729364710806,,-5.590599194292005,-5.599170605583316,-5.701110742206805,-5.457498628487845,-4.783409634959587,-4.7084356126706846,-11.192714100771207,-11.233230152693903,-11.367730369479045,-11.271307580470163,-10.744618789854522,-10.775548116542677,5,6,5.0
City of Santa Rosa,Balibago,2022,Wet,299.2,369.6,274.8,438.8,77.0,120.2,27.04,26.56,26.65,27.01,26.83,25.75,86.57,87.31,86.0,83.49,83.37,81.53,0.38963255423777005,0.35890135951435603,0.4382545096771234,,0.32905285008381463,0.3769562451484991,0.27331321262022207,0.29490192270862425,0.367278970089143,,0.23443908540983968,0.2606282495069991,-0.38114787129951655,-0.3355875206572535,-0.41138221863523267,,-0.3142343680830646,-0.37190413225657826,-4.38590099777907,-5.207008770201404,-4.397344448596024,-4.196215542832832,-3.763506667738751,-5.2367030524759555,-10.478838298729421,-11.009067011168298,-10.305006694526595,-10.163601443750352,-10.011361286920975,-10.993339258798532,5,6,4.8
City of Santa Rosa,Balibago,2023,Dry,106.7,72.6,7.5,130.6,118.9,222.7,25.15,25.93,26.7,27.74,28.55,27.89,80.29,74.66,68.63,75.01,76.79,80.82,0.4251733031753805,0.33102428482239504,0.28862292452868943,0.3225334202757675,0.3482631376937717,0.37764566303720515,0.29953845622901565,0.30674702754939903,0.20981482858967285,0.24709534335823932,0.31384065428645935,0.299845791888472,-0.4069746796339567,-0.2809245606143791,-0.316174704739729,-0.33479564026873654,-0.3323162235232524,-0.3693947286891537,-5.396900776686785,-5.221311126787851,-5.493198164438217,-5.383071920591533,-5.199310512050502,-4.39332733110408,-11.037129358205117,-10.9167165093047,-11.14367588213212,-11.114750788016483,-11.058363320427691,-10.490048536138607,6,6,4.0
City of Santa Rosa,Balibago,2023,Wet,338.5,96.5,344.9,169.9,85.3,38.3,27.94,28.09,27.63,27.55,27.14,26.63,81.31,80.29,83.28,81.88,81.44,82.48,0.3546176782043794,0.3618323614520877,0.3755000504537023,0.4647119192358775,0.20465608136284924,,0.2667994024443802,0.389817403075812,0.26768963749399083,0.3603876870221052,0.1630792916708049,,-0.3417830561865097,-0.3156672999162754,-0.3671090144611677,-0.4042831506962195,-0.16715060076898053,,-4.131666396625164,-4.444560662981674,-4.235207014861518,-3.8426347063022925,-4.367970375161843,-4.357901823163797,-10.383507711662704,-10.594508145921129,-10.325791099795543,-10.060867839810898,-10.23839069879948,-10.350139448840432,5,6,4.5
City of Santa Rosa,Balibago,2024,Dry,6.8,10.2,25.7,12.0,252.1,337.7,25.53,25.84,26.37,28.42,28.97,28.37,79.17,79.08,79.74,77.15,78.57,81.73,0.0032669794997976444,0.2960065003964965,0.07722054021510151,0.25179900308162717,,,0.0072328683898030275,0.22717784082435363,0.0369383138389329,0.17483705594696483,,,-0.01172913250380329,-0.32061687864169913,-0.09923110936210754,-0.307552661332415,,,-5.172149027938266,-5.276134786128122,-5.40261551957707,-5.5540416247684385,-5.458941868759591,-4.90797058652472,-10.77246752104987,-11.074718753023792,-10.875840764526291,-11.393952231868072,-11.104280382675217,-10.614727333357564,4,6,4.749
City of Santa Rosa,Balibago,2024,Wet,445.0,275.9,307.0,308.7,62.4,189.7,27.43,27.86,27.6,27.49,27.47,26.18,83.7,82.99,83.88,82.46,81.65,84.76,,0.3313465477236399,0.3193975518768634,0.3626165207728979,0.33815159225507735,0.2629576710009321,,0.3148972407224588,0.2373186268873128,0.26318776596277904,0.2482053503958875,0.23754591993781743,,-0.3121297598383752,-0.32514842134462607,-0.3613122979142471,-0.34742242726636297,-0.2464988634463982,-3.3449194279999777,-3.9360245845293744,-4.747948052049933,-4.159650549101185,-5.208421499108468,-3.80919455209386,-12.038159730872938,-10.12964492211539,-10.683472611786176,-10.096336545130812,-10.936730325444092,-9.818887070363443,5,6,4.5
City of Santa Rosa,Balibago,2025,Dry,51.9,89.6,48.5,22.0,167.5,369.0,25.58,25.66,26.57,28.59,28.55,27.55,82.79,82.35,80.81,76.27,78.18,83.04,0.38075953297539433,0.34847322242651546,0.33439893481076755,0.20258840648930962,0.2647029680772467,,0.2995352204191526,0.2675334981832521,0.24805707953249065,0.16300313399662655,0.2058779909911379,,-0.3822287545127555,-0.34597643339629847,-0.34400912811298345,-0.2353144936066248,-0.2848113220146399,,-4.533712116091227,-5.033147697045657,-5.064721246079842,-4.476952653647819,-4.835668195654032,-1.9005771079386289,-10.57238667662943,-10.646620992291185,-10.894921333038683,-13.15553976576107,-10.684061416106257,-11.375193966657218,5,6,4.5
