municipality,year,season,seq_step,month,rain,temp,humid,ndvi,vv,vh,suspected_proxy,yield_mt_ha
Alaminos,2018,Dry,1,1,125.0,23.92,85.39,0.7435397859575571,-5.730454876255691,-12.150481518899925,False,3.75584
Alaminos,2018,Dry,2,2,32.4,24.3,82.26,0.7888835875615291,-6.0534399289936065,-12.653917566197682,False,3.75584
Alaminos,2018,Dry,3,3,66.1,24.7,78.22,0.766086459178217,-6.261686279322462,-12.982311689570496,False,3.75584
Alaminos,2018,Dry,4,4,34.0,26.37,77.05,0.6704707909305652,-6.546564428335136,-13.021744266134778,False,3.75584
Alaminos,2018,Dry,5,5,62.1,27.61,76.93,0.7087469857857358,-6.082251281895327,-12.341552459289126,False,3.75584
Alaminos,2018,Dry,6,6,230.4,26.21,85.31,0.7978070058835129,-5.999386507350708,-12.80787353976585,False,3.75584
Bay,2018,Dry,1,1,135.5,24.7,83.95,0.6719552388076656,-6.928048388828759,-13.689309839820034,False,4.87822
Bay,2018,Dry,2,2,19.5,25.11,80.49,0.7336627744666611,-7.28526722575235,-13.877214796040871,False,4.87822
Bay,2018,Dry,3,3,70.0,25.72,75.1,0.6084244869934559,-7.454606132586367,-14.00850549275519,False,4.87822
Bay,2018,Dry,4,4,76.0,27.13,75.49,0.5800240045733515,-7.66382597094036,-13.933728000518466,False,4.87822
Bay,2018,Dry,5,5,55.8,28.72,73.43,0.42356160287516853,-7.1752558460559275,-13.385863060436437,False,4.87822
Bay,2018,Dry,6,6,245.2,26.92,85.21,0.5551187153331371,-7.361322768749925,-14.390850828038886,False,4.87822
Calauan,2018,Dry,1,1,124.3,25.06,83.3,0.7396046551890261,-6.6763248545262055,-13.094993836285159,False,4.66715
Calauan,2018,Dry,2,2,14.4,25.37,80.15,0.7604945510548791,-6.662787231398431,-13.28796338954368,False,4.66715
Calauan,2018,Dry,3,3,59.4,25.84,75.58,0.7318595800347921,-6.775787360226712,-13.494688895014173,False,4.66715
Calauan,2018,Dry,4,4,58.3,27.3,75.47,0.6408989817035188,-7.093235654467822,-13.582696294205665,False,4.66715
Calauan,2018,Dry,5,5,20.1,28.84,73.64,0.5877397955560089,-6.739996230004414,-12.99711190257508,False,4.66715
Calauan,2018,Dry,6,6,226.7,27.22,84.22,0.6929190583250262,-6.581241762343073,-13.677155797906497,False,4.66715
Cavinti,2018,Dry,1,1,204.6,22.7,91.29,0.6426587589047028,-6.912182803124155,-13.281113499887734,False,3.36595
Cavinti,2018,Dry,2,2,46.0,22.92,88.89,0.7439003970189232,-7.056670741569406,-13.495588452312687,False,3.36595
Cavinti,2018,Dry,3,3,123.3,23.18,85.27,0.7510661879047335,-6.674661096301146,-13.307208968847272,False,3.36595
Cavinti,2018,Dry,4,4,98.0,24.62,85.92,0.7487977488825538,-7.435291250448524,-14.063313271841443,False,3.36595
Cavinti,2018,Dry,5,5,92.3,25.99,84.78,0.6927828678883217,-7.190973081216131,-13.45839274766383,False,3.36595
Cavinti,2018,Dry,6,6,193.3,25.24,88.28,0.7171323820158509,-7.429496527258528,-14.065352566333946,False,3.36595
City of Biñan,2018,Dry,1,1,204.9,24.87,82.75,0.42303469266336113,-6.461392564733133,-11.998014002285466,False,4.56303
City of Biñan,2018,Dry,2,2,13.9,25.3,79.55,0.3814929099574749,-6.354613352274653,-13.013512083598764,False,4.56303
City of Biñan,2018,Dry,3,3,60.3,25.97,73.7,0.3346527828357553,-6.354513516747013,-13.234364644958838,False,4.56303
City of Biñan,2018,Dry,4,4,83.9,27.4,74.43,0.288812810635818,-6.60603423245276,-13.441707766194623,False,4.56303
City of Biñan,2018,Dry,5,5,42.1,28.83,73.29,0.30967063022755836,-7.232367046004186,-12.836949309284675,False,4.56303
City of Biñan,2018,Dry,6,6,224.1,26.89,84.17,,-5.587910796042742,-12.652855066073801,False,4.56303
City of Cabuyao,2018,Dry,1,1,165.6,24.46,85.29,0.47166389807529574,-6.770120201451504,-12.281471907936877,True,4.62105
City of Cabuyao,2018,Dry,2,2,20.2,24.91,82.29,0.5143215289326618,-6.3599311210589216,-13.587279669880862,True,4.62105
City of Cabuyao,2018,Dry,3,3,79.7,25.49,77.09,0.3787988066317255,-6.532524516225756,-13.899276980160247,True,4.62105
City of Cabuyao,2018,Dry,4,4,113.6,26.92,77.7,0.3559167613367649,-6.740279643128388,-14.005549335992027,True,4.62105
City of Cabuyao,2018,Dry,5,5,78.2,28.43,76.0,0.4156639368099655,-7.670051006877187,-13.131888136560246,True,4.62105
City of Cabuyao,2018,Dry,6,6,259.5,26.73,84.83,0.40998188886183,-5.834049480697954,-13.509930280721381,True,4.62105
City of Calamba,2018,Dry,1,1,128.5,24.07,85.66,0.557428177916727,-6.893022150732967,-12.669501863281534,True,4.62105
City of Calamba,2018,Dry,2,2,31.2,24.56,82.36,0.555825282997113,-7.1605465559346415,-13.659739381894802,True,4.62105
City of Calamba,2018,Dry,3,3,77.1,25.18,76.59,0.47700293057359905,-7.400729771557703,-14.025499011449027,True,4.62105
City of Calamba,2018,Dry,4,4,89.1,26.58,77.55,0.4091749714122332,-7.687874122958891,-14.221346773831344,True,4.62105
City of Calamba,2018,Dry,5,5,63.7,28.07,75.78,0.4180717440247209,-7.929387818377087,-13.762637813667807,True,4.62105
