barangay,year,month,rainfall_mm,temp_mean_c,humidity_mean_pct,days
Canlalay,2020,1,46.4,25.9,79.51,31
Canlalay,2020,2,32.5,25.55,74.18,29
Canlalay,2020,3,9.7,27.72,72.46,31
Canlalay,2020,4,20.3,28.81,71.61,30
Canlalay,2020,5,286.8,29.25,78.58,31
Canlalay,2020,6,242.9,28.24,82.72,30
Canlalay,2020,7,337.4,27.64,85.45,31
Canlalay,2020,8,306.8,27.11,87.48,31
Canlalay,2020,9,237.9,27.44,87.1,30
Canlalay,2020,10,484.0,26.62,90.03,31
Canlalay,2020,11,423.3,26.53,85.78,30
Canlalay,2020,12,345.5,26.22,87.12,31
Canlalay,2021,1,132.8,25.22,82.88,31
Canlalay,2021,2,68.2,25.34,81.95,28
Canlalay,2021,3,56.8,26.92,80.09,31
Canlalay,2021,4,16.8,28.21,71.45,30
Canlalay,2021,5,80.9,29.3,75.1,31
Canlalay,2021,6,269.4,28.05,82.75,30
Canlalay,2021,7,273.5,27.51,85.38,31
Canlalay,2021,8,250.0,27.47,85.08,31
Canlalay,2021,9,446.1,27.02,88.39,30
Canlalay,2021,10,234.3,26.89,86.42,31
Canlalay,2021,11,64.5,27.5,80.23,30
Canlalay,2021,12,78.5,26.13,77.45,31
Canlalay,2022,1,32.3,26.09,74.02,31
Canlalay,2022,2,28.8,26.61,75.4,28
Canlalay,2022,3,32.6,28.19,72.74,31
Canlalay,2022,4,64.0,27.98,74.71,30
Canlalay,2022,5,289.1,28.41,78.2,31
Canlalay,2022,6,324.6,27.82,82.61,30
Canlalay,2022,7,376.5,27.19,87.39,31
Canlalay,2022,8,528.4,26.6,88.42,31
Canlalay,2022,9,357.0,26.72,87.15,30
Canlalay,2022,10,485.2,26.98,86.01,31
Canlalay,2022,11,113.6,26.89,85.38,30
Canlalay,2022,12,99.8,25.89,82.87,31
Canlalay,2023,1,114.5,25.36,81.3,31
Canlalay,2023,2,70.9,26.17,75.3,28
Canlalay,2023,3,11.6,27.04,69.22,31
Canlalay,2023,4,134.2,28.08,75.16,30
Canlalay,2023,5,127.0,28.86,77.07,31
Canlalay,2023,6,284.7,27.95,82.71,30
Canlalay,2023,7,314.1,27.89,83.14,31
Canlalay,2023,8,77.0,28.3,79.34,31
Canlalay,2023,9,294.1,27.54,85.92,30
Canlalay,2023,10,148.2,27.58,83.05,31
Canlalay,2023,11,85.2,27.68,78.88,30
Canlalay,2023,12,37.5,27.29,79.0,31
Canlalay,2024,1,10.6,26.39,73.49,31
Canlalay,2024,2,10.1,26.8,73.04,29
Canlalay,2024,3,24.1,27.44,73.12,31
Canlalay,2024,4,11.8,29.7,69.45,30
Canlalay,2024,5,225.4,29.86,74.26,31
Canlalay,2024,6,348.6,28.28,85.21,30
Canlalay,2024,7,474.7,27.23,87.52,31
Canlalay,2024,8,239.8,27.65,85.98,31
Canlalay,2024,9,290.4,27.4,86.63,30
Canlalay,2024,10,349.0,27.25,85.83,31
Canlalay,2024,11,80.8,27.91,79.72,30
Canlalay,2024,12,171.3,26.35,85.35,31
Canlalay,2025,1,50.6,25.97,81.17,31
Canlalay,2025,2,89.2,26.22,79.46,28
Canlalay,2025,3,58.4,27.54,74.76,31
Canlalay,2025,4,15.7,29.94,68.08,30
Canlalay,2025,5,145.2,29.17,75.54,31
