barangay,year,month,rainfall_mm,temp_mean_c,humidity_mean_pct,days
Uwisan,2020,1,93.5822,25.6542,82.0022,31
Uwisan,2020,2,44.7519,25.8026,80.9219,29
Uwisan,2020,3,10.9325,27.2262,73.0678,31
Uwisan,2020,4,0,28.3707,71.5687,30
Uwisan,2020,5,166.4736,29.349,77.0434,31
Uwisan,2020,6,322.2618,28.079,82.5224,30
Uwisan,2020,7,323.4302,26.8943,83.7612,31
Uwisan,2020,8,313.535,27.7058,87.2974,31
Uwisan,2020,9,334.19,26.3247,86.0921,30
Uwisan,2020,10,435.6469,26.9287,87.6132,31
Uwisan,2020,11,129.8741,26.3309,83.4059,30
Uwisan,2020,12,141.9358,26.1635,82.6544,31
Uwisan,2021,1,98.2027,25.3588,77.0098,31
Uwisan,2021,2,40.0095,25.8962,77.5734,29
Uwisan,2021,3,39.9842,27.2949,78.1821,31
Uwisan,2021,4,65.9214,28.7228,71.7463,30
Uwisan,2021,5,164.6573,28.5012,76.7973,31
Uwisan,2021,6,264.7825,27.9919,85.0463,30
Uwisan,2021,7,322.7137,27.358,81.6985,31
Uwisan,2021,8,284.3381,27.9981,86.9121,31
Uwisan,2021,9,279.4768,26.7342,86.9913,30
Uwisan,2021,10,270.1267,26.6273,83.2465,31
Uwisan,2021,11,176.1544,27.223,82.1331,30
Uwisan,2021,12,113.5177,26.1463,83.9574,31
Uwisan,2022,1,31.7045,25.3673,78.7239,31
Uwisan,2022,2,80.8986,25.8097,75.8044,28
Uwisan,2022,3,31.4237,27.4252,77.1828,31
Uwisan,2022,4,6.4721,28.7221,73.5807,30
Uwisan,2022,5,194.3631,28.6281,77.1434,31
Uwisan,2022,6,274.548,27.2071,82.8804,30
Uwisan,2022,7,370.7615,27.1434,87.7268,31
Uwisan,2022,8,277.209,27.4568,86.9564,31
Uwisan,2022,9,314.3408,26.5049,85.1784,30
Uwisan,2022,10,226.5495,26.8096,86.705,31
Uwisan,2022,11,193.785,26.9565,81.8485,30
Uwisan,2022,12,176.9811,25.8467,81.8458,31
Uwisan,2023,1,70.4402,25.6495,78.4634,31
Uwisan,2023,2,58.3183,25.9224,78.1831,28
Uwisan,2023,3,26.734,26.5127,71.9299,31
Uwisan,2023,4,49.6519,27.7347,76.0363,30
Uwisan,2023,5,242.0184,29.0335,76.153,31
Uwisan,2023,6,272.8485,27.823,82.3537,30
Uwisan,2023,7,371.1736,27.554,85.3998,31
Uwisan,2023,8,259.9085,27.2954,84.0965,31
Uwisan,2023,9,296.7092,26.9559,87.8052,30
Uwisan,2023,10,291.354,26.9202,87.4252,31
Uwisan,2023,11,49.3207,27.6365,85.4318,30
Uwisan,2023,12,158.0372,26.4079,82.4826,31
Uwisan,2024,1,53.9888,25.5182,77.3996,31
Uwisan,2024,2,74.9123,26.4825,77.4304,29
Uwisan,2024,3,73.6989,26.3116,74.9254,31
Uwisan,2024,4,53.5022,28.1624,71.9019,30
Uwisan,2024,5,163.5224,28.0965,78.3487,31
Uwisan,2024,6,253.657,28.2211,84.8618,30
Uwisan,2024,7,376.5984,27.1009,84.8086,31
Uwisan,2024,8,289.7193,27.1674,85.0138,31
