barangay,year,month,rainfall_mm,temp_mean_c,humidity_mean_pct,days
Aplaya,2020,1,61.8,25.71,78.69,31
Aplaya,2020,2,46.4,25.31,73.73,29
Aplaya,2020,3,14.2,27.32,72.14,31
Aplaya,2020,4,20.6,28.37,71.47,30
Aplaya,2020,5,259.1,28.9,78.69,31
Aplaya,2020,6,206.5,28.18,80.67,30
Aplaya,2020,7,271.9,27.63,83.22,31
Aplaya,2020,8,259.5,27.06,85.97,31
Aplaya,2020,9,172.7,27.44,85.12,30
Aplaya,2020,10,488.6,26.58,88.02,31
Aplaya,2020,11,369.0,26.48,83.91,30
Aplaya,2020,12,327.8,26.11,85.74,31
Aplaya,2021,1,108.6,25.1,81.75,31
Aplaya,2021,2,91.9,25.17,80.92,28
Aplaya,2021,3,63.2,26.72,78.69,31
Aplaya,2021,4,22.2,27.88,70.63,30
Aplaya,2021,5,79.8,28.81,75.02,31
Aplaya,2021,6,231.7,27.93,81.25,30
Aplaya,2021,7,282.0,27.46,83.44,31
Aplaya,2021,8,182.8,27.33,83.78,31
Aplaya,2021,9,360.0,26.94,86.7,30
Aplaya,2021,10,204.0,26.89,84.03,31
Aplaya,2021,11,46.7,27.51,77.47,30
Aplaya,2021,12,80.0,25.93,76.43,31
Aplaya,2022,1,33.1,25.92,72.65,31
Aplaya,2022,2,21.8,26.26,74.93,28
Aplaya,2022,3,24.7,27.74,72.74,31
Aplaya,2022,4,59.5,27.63,74.3,30
Aplaya,2022,5,215.1,28.03,78.5,31
Aplaya,2022,6,265.8,27.65,81.8,30
Aplaya,2022,7,299.2,27.04,86.57,31
Aplaya,2022,8,369.6,26.56,87.31,31
Aplaya,2022,9,274.8,26.65,86.0,30
Aplaya,2022,10,438.8,27.01,83.49,31
Aplaya,2022,11,77.0,26.83,83.37,30
Aplaya,2022,12,120.2,25.75,81.53,31
Aplaya,2023,1,106.7,25.15,80.29,31
Aplaya,2023,2,72.6,25.93,74.66,28
Aplaya,2023,3,7.5,26.7,68.63,31
Aplaya,2023,4,130.6,27.74,75.01,30
Aplaya,2023,5,118.9,28.55,76.79,31
Aplaya,2023,6,222.7,27.89,80.82,30
Aplaya,2023,7,338.5,27.94,81.31,31
Aplaya,2023,8,96.5,28.09,80.29,31
Aplaya,2023,9,344.9,27.63,83.28,30
Aplaya,2023,10,169.9,27.55,81.88,31
Aplaya,2023,11,85.3,27.14,81.44,30
Aplaya,2023,12,38.3,26.63,82.48,31
Aplaya,2024,1,6.8,25.53,79.17,31
Aplaya,2024,2,10.2,25.84,79.08,29
Aplaya,2024,3,25.7,26.37,79.74,31
Aplaya,2024,4,12.0,28.42,77.15,30
Aplaya,2024,5,252.1,28.97,78.57,31
Aplaya,2024,6,337.7,28.37,81.73,30
Aplaya,2024,7,445.0,27.43,83.7,31
Aplaya,2024,8,275.9,27.86,82.99,31
Aplaya,2024,9,307.0,27.6,83.88,30
Aplaya,2024,10,308.7,27.49,82.46,31
Aplaya,2024,11,62.4,27.47,81.65,30
Aplaya,2024,12,189.7,26.18,84.76,31
Aplaya,2025,1,51.9,25.58,82.79,31
Aplaya,2025,2,89.6,25.66,82.35,28
Aplaya,2025,3,48.5,26.57,80.81,31
Aplaya,2025,4,22.0,28.59,76.27,30
Aplaya,2025,5,167.5,28.55,78.18,31
Aplaya,2025,6,369.0,27.55,83.04,30
Aplaya,2025,7,368.5,27.39,82.78,31
Aplaya,2025,8,323.2,27.29,81.91,31
Aplaya,2025,9,290.4,26.73,85.26,30
Aplaya,2025,10,254.2,27.12,83.51,31
Aplaya,2025,11,208.0,26.97,83.63,30
Aplaya,2025,12,69.9,26.31,81.87,31
Baclaran,2020,1,61.8,26.06,78.75,31
Baclaran,2020,2,46.4,25.67,73.79,29
Baclaran,2020,3,14.2,27.68,72.22,31
Baclaran,2020,4,20.6,28.74,71.52,30
Baclaran,2020,5,259.1,29.27,78.73,31
Baclaran,2020,6,206.5,28.54,80.72,30
Baclaran,2020,7,271.9,27.97,83.26,31
Baclaran,2020,8,259.5,27.42,86.01,31
Baclaran,2020,9,172.7,27.79,85.16,30
Baclaran,2020,10,488.6,26.95,88.06,31
Baclaran,2020,11,369.0,26.84,83.95,30
Baclaran,2020,12,327.8,26.46,85.79,31
Baclaran,2021,1,108.6,25.44,81.79,31
Baclaran,2021,2,91.9,25.52,80.96,28
Baclaran,2021,3,63.2,27.1,78.74,31
