municipality,year,month,rainfall_mm,temp_mean_c,days
Alaminos,2018,1,125.0,23.92,31
Alaminos,2018,2,32.4,24.3,28
Alaminos,2018,3,66.1,24.7,31
Alaminos,2018,4,34.0,26.37,30
Alaminos,2018,5,62.1,27.61,31
Alaminos,2018,6,230.4,26.21,30
Alaminos,2018,7,626.4,25.21,31
Alaminos,2018,8,188.9,25.68,31
Alaminos,2018,9,417.0,25.25,30
Alaminos,2018,10,120.7,25.28,31
Alaminos,2018,11,45.1,25.21,30
Alaminos,2018,12,282.7,24.54,31
Alaminos,2019,1,14.7,23.25,31
Alaminos,2019,2,15.4,23.39,28
Alaminos,2019,3,32.7,25.33,31
Alaminos,2019,4,17.9,27.49,30
Alaminos,2019,5,137.5,27.06,31
Alaminos,2019,6,195.4,27.27,30
Alaminos,2019,7,304.6,25.89,31
Alaminos,2019,8,336.4,25.76,31
Alaminos,2019,9,347.1,25.47,30
Alaminos,2019,10,85.2,25.48,31
Alaminos,2019,11,146.1,25.04,30
Alaminos,2019,12,250.6,24.52,31
Alaminos,2020,1,53.7,23.99,31
Alaminos,2020,2,65.3,23.38,29
Alaminos,2020,3,34.1,25.75,31
Alaminos,2020,4,58.9,26.98,30
Alaminos,2020,5,256.2,27.58,31
Alaminos,2020,6,225.1,26.72,30
Alaminos,2020,7,278.5,26.05,31
Alaminos,2020,8,367.7,25.8,31
Alaminos,2020,9,270.6,25.96,30
Alaminos,2020,10,588.4,25.21,31
Alaminos,2020,11,487.8,24.98,30
Alaminos,2020,12,240.7,24.82,31
Alaminos,2021,1,150.7,23.66,31
Alaminos,2021,2,118.7,23.7,28
Alaminos,2021,3,94.8,24.93,31
Alaminos,2021,4,41.9,25.85,30
Alaminos,2021,5,65.7,27.73,31
Alaminos,2021,6,207.0,26.68,30
Alaminos,2021,7,327.1,25.89,31
Alaminos,2021,8,205.5,25.98,31
Alaminos,2021,9,455.5,25.48,30
Alaminos,2021,10,296.8,25.38,31
Alaminos,2021,11,95.9,25.68,30
Alaminos,2021,12,103.1,24.17,31
Alaminos,2022,1,38.6,23.79,31
Alaminos,2022,2,54.4,24.72,28
Alaminos,2022,3,60.2,26.31,31
Alaminos,2022,4,141.3,25.86,30
Alaminos,2022,5,186.3,26.69,31
Alaminos,2022,6,242.5,26.1,30
Alaminos,2022,7,353.7,25.75,31
Alaminos,2022,8,336.5,25.33,31
Alaminos,2022,9,289.6,25.43,30
Alaminos,2022,10,461.3,25.52,31
Alaminos,2022,11,121.7,25.46,30
Alaminos,2022,12,111.8,24.42,31
